unit_code,pct_GCE_ALL,pct_GCE_LEP,pct_GCE_PRM,pct_GCE_RPF,pct_GCE_SWD,pct_PASSED_EOG,pct_PASSED_LAA,pct_PASSED_RTA,pct_PROMOTED,pct_RETAINED
440349,0.078,,,,,0.608,0.21600000000000003,,0.922,
440350,0.069,,,,,0.741,0.086,,0.95,
440364,0.12,,,,0.12,0.6,0.12,,0.92,
440368,0.054000000000000006,,,,,0.5539999999999999,,0.095,0.8240000000000001,0.17600000000000002
450302,0.03,,,,,0.701,0.239,,0.95,
450306,0.14300000000000002,,,,0.14300000000000002,0.5429999999999999,0.071,,0.8859999999999999,0.114
450307,0.024,,,,,0.6829999999999999,0.207,,0.95,
450308,0.071,,,,0.059000000000000004,0.565,0.32899999999999996,,0.95,
450322,0.159,,,,0.159,0.49200000000000005,0.317,,0.95,
450324,0.081,,,,0.081,0.703,0.21600000000000003,,0.95,
450332,0.07200000000000001,,,,0.06,0.6509999999999999,0.12,,0.95,
450333,0.11,,,,0.08199999999999999,0.795,,,0.95,
450336,0.1,,,,0.1,0.564,0.11800000000000001,,0.95,
450339,0.044000000000000004,,,,,0.7909999999999999,0.099,,0.95,
450340,0.107,,,,0.107,0.607,,0.06,0.94,0.06
450344,0.105,,,,0.079,0.539,0.171,,0.9079999999999999,0.092
450346,0.105,,,,0.105,0.523,0.256,,0.9420000000000001,0.057999999999999996
45A000,0.2,,,,,0.75,,,0.95,
460312,0.243,,,0.153,0.09,0.46299999999999997,,,0.8590000000000001,0.141
460332,0.20800000000000002,,,0.132,,0.34,,,0.774,0.226
470310,0.27399999999999997,,,0.168,0.106,0.575,,,0.903,0.09699999999999999
470316,0.21100000000000002,,,0.158,,0.5,0.158,,0.9209999999999999,
470328,0.18,,,,0.15,0.32,,0.08,0.71,0.29
470330,0.122,,,,0.102,0.408,0.122,0.122,0.816,0.184
470336,0.038,,,,,0.377,,,0.604,0.396
470340,0.073,,,,0.055,0.7,0.055,,0.909,0.091
470346,0.1,,,0.05,0.05,0.6,0.11,,0.9,0.1
470441,0.069,,,,0.059000000000000004,0.431,0.304,,0.804,0.196
480306,0.027999999999999997,,,,,0.583,,,0.8059999999999999,0.19399999999999998
480316,0.077,,,,,0.846,,,0.95,
490312,0.037000000000000005,,,,,0.579,0.10300000000000001,,0.794,0.20600000000000002
490316,0.106,,,,,0.66,0.149,,0.95,
490318,0.083,,,,,0.833,,,0.95,
490319,0.08199999999999999,,,,0.057,0.402,0.27,,0.828,0.172
490324,0.109,,,,0.078,0.7190000000000001,,,0.95,
490326,0.122,,,,0.106,0.431,0.252,,0.846,0.154
490332,0.214,,,0.171,,0.7,,,0.95,
490336,0.045,,,,,0.8640000000000001,,,0.95,
490337,0.19699999999999998,,,0.165,,0.7240000000000001,,,0.945,0.055
490345,0.133,,,,0.12,0.313,0.10800000000000001,0.084,0.735,0.265
490348,0.27899999999999997,,,0.221,,0.603,,,0.941,
490350,0.4,,,,,,,,,
490356,0.08199999999999999,,,,,0.721,0.098,,0.9179999999999999,0.08199999999999999
490360,0.23800000000000002,,,0.2,,0.688,,,0.95,
490363,0.198,,,0.08800000000000001,0.08800000000000001,0.44,,,0.7140000000000001,0.28600000000000003
490364,0.17,,,0.071,0.08900000000000001,0.527,0.11599999999999999,,0.884,0.11599999999999999
490368,0.212,,,0.135,,0.5379999999999999,0.154,,0.9420000000000001,
490390,0.05,,,,,0.9009999999999999,,,0.95,
491316,0.046,,,,,0.821,0.11599999999999999,,0.95,
491318,0.061,,,,,0.78,0.11,,0.95,
491320,0.081,,,,0.07400000000000001,0.733,0.133,,0.95,
49B000,0.11699999999999999,,,0.083,,0.7829999999999999,,,0.9329999999999999,
49D000,0.0,,,,,,,,,0.727
49E000,0.0,,,,,0.821,0.163,,0.95,
49F000,0.065,,,,0.065,0.848,,,0.95,
500304,0.161,,,,0.161,0.446,0.23199999999999998,,0.95,
500314,0.068,,,,0.068,0.603,0.247,,0.932,0.068
500316,0.037000000000000005,,,,,0.40700000000000003,0.222,,0.889,
500324,0.4,,,,,,,,0.95,
500332,0.048,,,,,0.5710000000000001,0.28600000000000003,,0.929,
500337,0.051,,,,,0.5379999999999999,0.282,,0.95,
50A000,0.0,,,,,0.875,,,0.95,
510308,0.099,,,,0.076,0.382,0.29,,0.8170000000000001,0.183
510326,0.055999999999999994,,,,0.055999999999999994,0.657,0.161,,0.93,0.07
510328,0.048,,,,,0.8,0.138,,0.95,
510330,0.14300000000000002,,,,0.11,0.593,0.099,,0.9009999999999999,0.099
510332,0.198,,,0.08900000000000001,0.099,0.535,0.218,,0.95,0.05
510334,0.081,,,,0.061,0.737,0.061,,0.95,
510336,0.07400000000000001,,,,0.07400000000000001,0.695,0.147,,0.95,
510340,0.14800000000000002,,,,0.142,0.525,0.309,,0.95,
510356,0.065,,,,0.065,0.639,0.222,,0.9440000000000001,0.055999999999999994
510358,0.068,,,,0.068,0.599,0.19,,0.932,0.068
510360,0.23199999999999998,,,0.10099999999999999,0.11599999999999999,0.536,,,0.9279999999999999,0.07200000000000001
510372,0.055,,,,,0.55,0.358,,0.95,
510373,0.083,,,,,0.6970000000000001,0.10099999999999999,,0.917,0.083
510374,0.113,,,,0.064,0.652,0.17,,0.95,0.05
510377,0.045,,,,,0.667,0.244,,0.95,
510378,0.037000000000000005,,,,,0.6940000000000001,0.19399999999999998,,0.95,
510388,0.138,,,,0.075,0.32799999999999996,0.195,,0.741,0.259
510396,0.24100000000000002,,,0.152,0.08900000000000001,0.48100000000000004,0.165,,0.9109999999999999,0.08900000000000001
510404,0.07200000000000001,,,,,0.639,0.157,,0.867,0.133
510408,0.20800000000000002,,,,0.13,0.494,0.156,,0.909,0.091
510410,0.174,,,0.087,0.081,0.634,,,0.9420000000000001,0.057999999999999996
510414,0.048,,,,,0.747,0.16899999999999998,,0.95,
51A000,0.0,,,,,0.8,0.18600000000000003,,0.95,
520304,0.0,,,,,0.47600000000000003,,,0.95,
520308,0.21100000000000002,,,,,0.579,,,0.895,
520328,0.0,,,,,0.4,,,0.867,
520336,0.17600000000000002,,,,,0.529,0.265,,0.95,
530302,0.0,,,,,0.521,0.077,,0.7090000000000001,0.29100000000000004
530308,0.0,,,,,0.47600000000000003,0.256,,0.8290000000000001,0.171
530312,0.07,,,,0.061,0.452,,0.10400000000000001,0.73,0.27
530316,0.667,,,,,,,,,
530320,0.052000000000000005,,,,0.052000000000000005,0.626,0.165,,0.87,0.13
530340,0.033,,,,,0.557,0.213,,0.91,0.09
530346,0.045,,,,,0.775,,0.054000000000000006,0.883,0.11699999999999999
530354,0.052000000000000005,,,,0.052000000000000005,0.5820000000000001,0.067,0.06,0.828,0.172
530358,0.0,,,,,,,,,
540304,0.162,,,0.063,0.09,0.568,0.10800000000000001,,0.9279999999999999,0.07200000000000001
540308,0.126,,,,0.10800000000000001,0.369,0.18899999999999997,0.054000000000000006,0.9009999999999999,0.099
540316,0.139,,,,0.109,0.436,0.20800000000000002,,0.9009999999999999,0.099
540318,1.0,,,,,,,,,
540320,0.191,,,,0.157,0.685,,,0.95,
540325,0.21,,,0.105,0.095,0.295,0.14300000000000002,,0.752,0.248
540326,0.22699999999999998,,,0.107,0.12,0.547,0.08,,0.907,0.09300000000000001
540328,0.11800000000000001,,,,0.11800000000000001,0.5660000000000001,0.132,,0.934,0.066
540338,0.188,,,,0.188,0.125,,0.125,0.625,0.375
540340,0.157,,,,0.157,0.49,0.098,,0.902,0.098
54A000,0.35,,,0.3,,0.3,,,0.65,0.35
550312,0.266,,,0.08900000000000001,0.165,0.48100000000000004,,,0.9109999999999999,0.08900000000000001
550314,0.04,,,,,0.773,,,0.9470000000000001,
550316,0.0,,,,,0.588,0.098,,0.843,0.157
550328,0.096,,,,0.096,0.6509999999999999,0.096,,0.88,0.12
550336,0.315,,,0.13,0.16699999999999998,0.537,,,0.95,
550340,0.184,,,0.079,0.092,0.6579999999999999,,,0.9209999999999999,0.079
550342,0.16699999999999998,,,0.121,,0.561,,,0.818,0.182
550349,0.183,,,,0.151,0.688,0.086,,0.95,
550356,0.063,,,,0.063,0.74,0.094,,0.95,
550360,0.12300000000000001,,,,0.10800000000000001,0.585,0.138,,0.95,
550362,0.08800000000000001,,,,0.08800000000000001,0.747,0.121,,0.95,
550364,0.115,,,,0.096,0.7120000000000001,,,0.9229999999999999,
55A000,0.0,,,,,0.8640000000000001,0.086,,0.95,
560304,0.028999999999999998,,,,,0.75,,,0.941,
560316,0.177,,,,0.139,0.57,0.063,,0.873,0.127
560324,0.188,,,,,0.625,,,0.813,
560328,0.068,,,,0.068,0.6709999999999999,0.12300000000000001,,0.904,0.096
560332,0.14300000000000002,,,,,0.7140000000000001,,,0.95,
560338,0.126,,,0.063,0.063,0.695,,0.053,0.9159999999999999,0.084
570306,0.08800000000000001,,,,0.08800000000000001,0.7190000000000001,0.158,,0.95,
570312,0.17600000000000002,,,,,0.706,,,0.95,
570316,0.0,,,,,,,,0.95,
570320,0.027999999999999997,,,,,0.7609999999999999,0.099,,0.95,
580312,0.128,,,,0.11199999999999999,0.48,0.11199999999999999,,0.8079999999999999,0.192
580316,0.158,,,,0.158,0.184,0.474,,0.8420000000000001,0.158
580320,0.048,,,,,0.381,,,0.7140000000000001,0.28600000000000003
580324,0.16699999999999998,,,,,0.583,0.139,,0.917,
580356,0.128,,,,,0.5529999999999999,,,0.83,0.17
590306,0.08800000000000001,,,,0.07400000000000001,0.47100000000000003,0.07400000000000001,,0.706,0.294
590316,0.205,,,0.151,,0.616,,,0.9179999999999999,0.08199999999999999
590320,0.2,,,0.16,,0.627,0.067,,0.92,0.08
590332,0.221,,,,0.17600000000000002,0.485,,0.07400000000000001,0.838,0.162
590336,0.064,,,,,0.532,,,0.809,0.191
590340,0.262,,,0.131,0.131,0.557,,,0.934,
590344,0.0,,,,,0.522,,0.087,0.652,0.348
590352,0.16,,,,0.111,0.531,0.136,,0.852,0.14800000000000002
600300,0.222,0.10300000000000001,,,0.11800000000000001,0.23199999999999998,0.24100000000000002,,0.7140000000000001,0.28600000000000003
600308,0.141,,,,0.106,0.32899999999999996,0.22399999999999998,,0.741,0.259
600311,0.018000000000000002,,,,,0.21100000000000002,0.24600000000000002,,0.509,0.491
600314,0.039,,,,,0.87,0.057999999999999996,,0.95,
600316,0.049,,,,,0.647,,,0.755,0.245
600318,0.08900000000000001,,,,0.081,0.431,0.293,,0.821,0.179
600319,0.129,,,,0.106,0.4,0.17600000000000002,0.059000000000000004,0.7759999999999999,0.22399999999999998
600322,0.055999999999999994,,,,,0.847,0.073,,0.95,
600328,0.059000000000000004,,,,,0.723,0.109,,0.9009999999999999,0.099
600329,0.107,,,,0.066,0.39299999999999996,0.08199999999999999,,0.607,0.39299999999999996
600335,0.128,0.053,,,0.064,0.309,0.309,,0.745,0.255
600336,0.024,,,,,0.927,,,0.95,
600338,0.018000000000000002,,,,,0.711,0.114,,0.851,0.149
600344,0.075,,,,0.065,0.72,0.151,,0.946,0.054000000000000006
600346,0.0,,,,,0.6990000000000001,0.183,,0.882,0.11800000000000001
600349,0.036000000000000004,,,,,0.736,0.079,,0.857,0.14300000000000002
600352,0.068,,,,0.059000000000000004,0.6779999999999999,0.051,,0.8390000000000001,0.161
600357,0.10400000000000001,,,,0.09,0.866,,,0.95,
600362,0.13,,,,0.076,0.534,0.122,,0.802,0.198
600364,0.055999999999999994,,,,,0.37,0.24100000000000002,,0.685,0.315
600365,0.09,0.054000000000000006,,,,0.405,0.126,,0.667,0.33299999999999996
600367,0.009000000000000001,,,,,0.8909999999999999,0.055,,0.95,
600368,0.0,,,,,0.59,,0.084,0.735,0.265
600369,0.114,,,,0.105,0.5710000000000001,,0.067,0.838,0.162
600374,0.175,,,,0.138,0.375,,,0.625,0.375
600379,0.026000000000000002,,,,,0.857,,,0.922,0.078
600382,0.018000000000000002,,,,,0.861,0.09699999999999999,,0.95,
600383,0.032,,,,,0.914,,,0.95,
600384,0.057,,,,0.057,0.705,0.068,,0.875,0.125
600385,0.096,0.051,,,,0.757,0.051,,0.934,0.066
600392,0.011000000000000001,,,,,0.938,,,0.95,
600398,0.138,0.086,,,0.052000000000000005,0.586,0.06,,0.8190000000000001,0.18100000000000002
600406,0.071,,,,,0.845,,,0.95,
600410,0.08199999999999999,0.055,,,,0.445,0.08199999999999999,,0.6920000000000001,0.308
600411,0.04,,,,,0.7170000000000001,0.136,,0.909,0.091
600412,0.105,,,,0.057999999999999996,0.322,0.175,,0.632,0.368
600413,0.0,,,,,0.929,,,0.95,
600414,0.025,,,,,0.557,0.114,0.063,0.759,0.24100000000000002
600416,0.10099999999999999,,,,0.067,0.47200000000000003,0.079,0.055999999999999994,0.708,0.292
600418,0.036000000000000004,,,,,0.6609999999999999,0.08,,0.804,0.196
600420,0.031,,,,,0.868,0.09300000000000001,,0.95,
600422,0.128,0.052000000000000005,,,0.076,0.37200000000000005,0.122,,0.6509999999999999,0.349
600424,0.057,,,,,0.5670000000000001,0.121,,0.79,0.21
600429,0.0,,,,,0.7829999999999999,0.124,,0.946,0.054000000000000006
600432,0.107,,,,0.09300000000000001,0.5670000000000001,0.09300000000000001,,0.807,0.193
600433,0.055,,,,,0.72,0.159,,0.95,
600436,0.165,,,,0.128,0.606,0.10099999999999999,,0.89,0.11
600437,0.035,,,,,0.851,0.085,,0.95,
600438,0.10300000000000001,,,,0.09300000000000001,0.6920000000000001,0.121,,0.925,0.075
600440,0.08800000000000001,,,,0.066,0.467,0.285,,0.8390000000000001,0.161
600442,0.10099999999999999,,,,0.085,0.649,0.085,,0.862,0.138
600444,0.083,,,,0.06,0.536,0.06,,0.738,0.262
600446,0.08,,,,0.055999999999999994,0.5920000000000001,0.128,,0.856,0.14400000000000002
600447,0.022000000000000002,,,,,0.777,0.11199999999999999,,0.9329999999999999,0.067
600449,0.013999999999999999,,,,,0.855,0.087,,0.95,
600451,0.0,,,,,0.8640000000000001,0.126,,0.95,
600453,0.165,0.055,,,0.11,0.33899999999999997,0.157,,0.685,0.315
600454,1.0,,,,,,,,,
600459,0.165,0.126,,,,0.29100000000000004,0.204,,0.728,0.272
600461,0.0,,,,,,,,,0.667
600462,0.075,,,,0.065,0.617,0.15,,0.85,0.15
600463,0.065,,,,0.055999999999999994,0.574,0.12,,0.769,0.231
600464,0.034,,,,,0.703,0.153,,0.924,0.076
600468,0.08199999999999999,,,,0.07400000000000001,0.5489999999999999,0.23,,0.893,0.107
600471,0.142,0.126,,,,0.37,,0.071,0.677,0.32299999999999995
600474,0.113,0.063,,,,0.35200000000000004,0.07,,0.599,0.401
600478,0.067,,,,0.05,0.45799999999999996,0.2,0.057999999999999996,0.792,0.20800000000000002
