unit_code,ACTCompositeScore_UNCMin_LEP,ACTEnglish_ACTBenchmark_LEP,ACTMath_ACTBenchmark_LEP,ACTReading_ACTBenchmark_LEP,ACTScience_ACTBenchmark_LEP,ACTSubtests_BenchmarksMet_LEP,ACTWorkKeys_SilverPlus_LEP,ACTWriting_ACTBenchmark_LEP,EOCBiology_CACR_LEP,EOCBiology_GLP_LEP,EOCEnglish2_CACR_LEP,EOCEnglish2_GLP_LEP,EOCMathI_CACR_LEP,EOCMathI_GLP_LEP,EOCSubjects_CACR_LEP,EOCSubjects_GLP_LEP,EOG/EOCSubjects_CACR_LEP,EOG/EOCSubjects_GLP_LEP,EOGGr3_CACR_LEP,EOGGr3_GLP_LEP,EOGGr4_CACR_LEP,EOGGr4_GLP_LEP,EOGGr5_CACR_LEP,EOGGr5_GLP_LEP,EOGGr6_CACR_LEP,EOGGr6_GLP_LEP,EOGGr7_CACR_LEP,EOGGr7_GLP_LEP,EOGGr8_CACR_LEP,EOGGr8_GLP_LEP,EOGMathGr3_CACR_LEP,EOGMathGr3_GLP_LEP,EOGMathGr3-8_CACR_LEP,EOGMathGr3-8_GLP_LEP,EOGMathGr4_CACR_LEP,EOGMathGr4_GLP_LEP,EOGMathGr5_CACR_LEP,EOGMathGr5_GLP_LEP,EOGMathGr6_CACR_LEP,EOGMathGr6_GLP_LEP,EOGMathGr7_CACR_LEP,EOGMathGr7_GLP_LEP,EOGMathGr8_CACR_LEP,EOGMathGr8_GLP_LEP,EOGReadingGr3_CACR_LEP,EOGReadingGr3_GLP_LEP,EOGReadingGr3-8_CACR_LEP,EOGReadingGr3-8_GLP_LEP,EOGReadingGr4_CACR_LEP,EOGReadingGr4_GLP_LEP,EOGReadingGr5_CACR_LEP,EOGReadingGr5_GLP_LEP,EOGReadingGr6_CACR_LEP,EOGReadingGr6_GLP_LEP,EOGReadingGr7_CACR_LEP,EOGReadingGr7_GLP_LEP,EOGReadingGr8_CACR_LEP,EOGReadingGr8_GLP_LEP,EOGScienceGr5_CACR_LEP,EOGScienceGr5_GLP_LEP,EOGScienceGr5&8_CACR_LEP,EOGScienceGr5&8_GLP_LEP,EOGScienceGr8_CACR_LEP,EOGScienceGr8_GLP_LEP,EOGSubjects_CACR_LEP,EOGSubjects_GLP_LEP,GraduationRate_4yr_LEP,GraduationRate_5yr_LEP
600446,,,,,,,,,,,,,,,,,22.0,33.9,29.4,47.1,10.0,10.0,13.3,20.0,,,,,,,23.5,41.2,18.5,29.6,20.0,20.0,0.0,0.0,,,,,,,35.3,52.9,22.2,33.3,0.0,0.0,0.0,0.0,,,,,,,40.0,60.0,40.0,60.0,,,22.0,33.9,,
600447,,,,,,,,,,,,,,,,,35.4,49.2,40.6,65.6,41.7,50.0,23.8,23.8,,,,,,,37.5,68.8,37.9,58.6,66.7,83.3,14.3,14.3,,,,,,,43.8,62.5,34.5,44.8,16.7,16.7,28.6,28.6,,,,,,,28.6,28.6,28.6,28.6,,,35.4,49.2,,
600448,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.4,13.2,,,,,,,6.3,8.1,0.0,8.3,15.0,21.7,,,8.9,14.3,,,,,8.8,12.5,6.3,12.5,12.5,20.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,42.5,30.0,42.5,8.2,12.5,,
600449,,,,,,,,,,,,,,,,,30.0,50.0,33.3,50.0,25.0,41.7,33.3,58.3,,,,,,,0.0,0.0,30.8,46.2,33.3,33.3,0.0,0.0,,,,,,,0.0,0.0,15.4,38.5,16.7,50.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,30.0,50.0,,
600450,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.3,7.9,,,,,,,7.7,7.7,0.0,9.5,0.0,7.4,,,6.4,9.0,,,,,0.0,0.0,9.5,19.0,6.5,6.5,,,5.1,5.1,,,,,11.5,11.5,0.0,0.0,0.0,0.0,,,0.0,12.5,0.0,12.5,5.3,8.0,,
600451,,,,,,,,,,,,,,,,,41.7,58.3,41.7,58.3,0.0,0.0,0.0,0.0,,,,,,,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,,33.3,66.7,33.3,66.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,41.7,58.3,,
600453,,,,,,,,,,,,,,,,,21.7,31.3,30.6,44.1,9.0,12.8,21.7,31.7,,,,,,,40.0,58.2,32.5,43.0,15.4,20.5,45.0,45.0,,,,,,,21.4,30.4,11.3,19.1,0.0,5.1,0.0,15.0,,,,,,,20.0,35.0,20.0,35.0,,,21.7,31.3,,
600454,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.7,33.3,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,
600455,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.7,26.0,,,,,,,30.0,30.0,11.8,17.6,16.7,31.0,,,14.6,19.5,,,,,30.0,30.0,11.8,11.8,7.1,21.4,,,17.1,29.3,,,,,30.0,30.0,11.8,23.5,14.3,35.7,,,28.6,35.7,28.6,35.7,17.7,26.0,,
600457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,8.3,20.8,0.0,10.3,6.8,15.9,6.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,77.8
600459,,,,,,,,,,,,,,,,,7.6,13.7,11.6,19.8,5.6,11.1,0.0,7.0,,,,,,,16.3,25.6,13.5,22.5,11.1,22.2,10.5,15.8,,,,,,,7.0,14.0,0.0,6.7,0.0,0.0,0.0,0.0,,,,,,,0.0,5.3,0.0,5.3,,,7.6,13.7,,
600461,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
600462,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
600463,,,,,,,,,,,,,,,,,15.4,25.6,25.0,40.0,10.0,10.0,0.0,11.1,,,,,,,30.0,40.0,22.2,33.3,20.0,20.0,0.0,0.0,,,,,,,20.0,40.0,11.1,22.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,15.4,25.6,,
600464,,,,,,,,,,,,,,,,,36.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,36.4,36.4,,
600466,20.0,9.5,14.3,14.3,10.0,12.5,0.0,14.3,12.1,24.2,20.8,25.0,19.4,35.5,17.0,28.4,17.0,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,63.6
600468,,,,,,,,,,,,,,,,,10.8,24.6,7.1,32.1,13.6,22.7,13.3,13.3,,,,,,,7.1,35.7,13.3,30.0,18.2,27.3,20.0,20.0,,,,,,,7.1,28.6,6.7,20.0,9.1,18.2,0.0,0.0,,,,,,,20.0,20.0,20.0,20.0,,,10.8,24.6,,
600471,,,,,,,,,,,,,,,,,14.3,23.8,23.6,40.0,10.7,17.9,5.6,8.3,,,,,,,32.1,42.9,20.6,29.4,14.3,25.0,8.3,8.3,,,,,,,14.8,37.0,9.0,19.4,7.1,10.7,0.0,0.0,,,,,,,8.3,16.7,8.3,16.7,,,14.3,23.8,,
600474,,,,,,,,,,,,,,,,,21.4,34.9,30.2,46.6,6.7,16.7,13.0,23.2,,,,,,,41.4,55.2,30.2,42.7,13.3,20.0,13.0,26.1,,,,,,,19.0,37.9,12.5,27.1,0.0,13.3,0.0,8.7,,,,,,,21.7,34.8,21.7,34.8,,,21.4,34.9,,
600478,,,,,,,,,,,,,,,,,14.8,24.6,22.4,39.7,9.1,18.2,7.1,7.1,,,,,,,24.1,41.4,18.5,31.5,18.2,36.4,7.1,7.1,,,,,,,20.7,37.9,13.0,22.2,0.0,0.0,7.1,7.1,,,,,,,7.1,7.1,7.1,7.1,,,14.8,24.6,,
600479,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.5,17.3,,,,,,,6.5,8.7,0.0,0.0,16.1,27.6,,,11.9,16.4,,,,,8.7,13.0,0.0,0.0,20.7,27.6,,,0.0,6.1,,,,,0.0,0.0,0.0,0.0,0.0,10.3,,,27.6,44.8,27.6,44.8,10.5,17.3,,
600480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,45.5,54.5,9.5,9.5,15.2,18.2,18.5,21.5,18.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,75.0
